"point","species","dead","ba","n.serrata","n.cryptomeria","n.fagus","n.crispula","n.broad","n.conifer","ba.serrata","ba.cryptomeria","ba.fagus","ba.crispula","ba.broad","ba.conifer","fagus.100","broad.100","conifer.100","grass.100","shannon.100","fagus.1000","broad.1000","conifer.1000","grass.1000","shannon.1000","altitude","distance"
"32","crispula",FALSE,78.5398163397448,0,1,0,5,3,0,0,706.858347057703,0,2905.97320457056,863.937979737193,0,0,0.691923464165472,0.308076535834528,0,0.721131424590941,0.016712002454285,0.534313687030059,0.355049731007729,0,1.04384355006791,401.299987792969,0
"32","crispula",FALSE,706.858347057703,0,1,0,5,3,0,0,706.858347057703,0,2905.97320457056,863.937979737193,0,0,0.691923464165472,0.308076535834528,0,0.721131424590941,0.016712002454285,0.534313687030059,0.355049731007729,0,1.04384355006791,401.299987792969,0
"32","crispula",FALSE,78.5398163397448,0,1,0,5,3,0,0,706.858347057703,0,2905.97320457056,863.937979737193,0,0,0.691923464165472,0.308076535834528,0,0.721131424590941,0.016712002454285,0.534313687030059,0.355049731007729,0,1.04384355006791,401.299987792969,0
"32","crispula",TRUE,1963.49540849362,0,1,0,5,3,0,0,706.858347057703,0,2905.97320457056,863.937979737193,0,0,0.691923464165472,0.308076535834528,0,0.721131424590941,0.016712002454285,0.534313687030059,0.355049731007729,0,1.04384355006791,401.299987792969,0
"32","crispula",TRUE,78.5398163397448,0,1,0,5,3,0,0,706.858347057703,0,2905.97320457056,863.937979737193,0,0,0.691923464165472,0.308076535834528,0,0.721131424590941,0.016712002454285,0.534313687030059,0.355049731007729,0,1.04384355006791,401.299987792969,0
"34","crispula",TRUE,706.858347057703,0,0,4,6,0,0,0,0,5340.70751110265,3612.83155162826,0,0,0,0.673552198695736,0.326447801304264,0,0.631634434439692,0.022712296642206,0.525301339893843,0.385385107275763,0,1.02594403051214,438.600006103516,3.94045641832314
"34","crispula",TRUE,706.858347057703,0,0,4,6,0,0,0,0,5340.70751110265,3612.83155162826,0,0,0,0.673552198695736,0.326447801304264,0,0.631634434439692,0.022712296642206,0.525301339893843,0.385385107275763,0,1.02594403051214,438.600006103516,3.94045641832314
"34","crispula",TRUE,706.858347057703,0,0,4,6,0,0,0,0,5340.70751110265,3612.83155162826,0,0,0,0.673552198695736,0.326447801304264,0,0.631634434439692,0.022712296642206,0.525301339893843,0.385385107275763,0,1.02594403051214,438.600006103516,3.94045641832314
"34","crispula",TRUE,706.858347057703,0,0,4,6,0,0,0,0,5340.70751110265,3612.83155162826,0,0,0,0.673552198695736,0.326447801304264,0,0.631634434439692,0.022712296642206,0.525301339893843,0.385385107275763,0,1.02594403051214,438.600006103516,3.94045641832314
"34","crispula",TRUE,706.858347057703,0,0,4,6,0,0,0,0,5340.70751110265,3612.83155162826,0,0,0,0.673552198695736,0.326447801304264,0,0.631634434439692,0.022712296642206,0.525301339893843,0.385385107275763,0,1.02594403051214,438.600006103516,3.94045641832314
